AirportID;Destination_Airports;Airlines;Tot_Flights
1;3,4,2,5;1308,328;10
2;1,3,4,6,5430,5,5436;1308,328;16
3;1,4,2,5431,5,5434,5433,6;1308,328;22
4;5421,1,3,5424,2,5430,5423,5,5435;1308,328;22
5;3320,12946,5421,1,5422,3,5424,4,5979,5431,5423,5435,5434,5984,5433,5425,5419,4206,5420,3322,3940,4074,3077,5428,2,5430,5429,2397,1960,2279,3316,3361,5436,5437,6;1308,328,4089,5360;102
6;3,2,5,5436;1308,328;12
7;8,5440,5442,5445,9;921;10
8;3995,5440,5447,5443,16,4248,9,7,18;921,896;18
9;609,8,3995,3997,5447,5443,4248,7;921;16
10;5446,\N;921;4
11;18;896;2
12;18;896;2
15;18;896;2
16;421,636,644,580,737,608,3448,302,1382,609,3751,3494,340,534,3714,3797,502,507,478,346,3577,4167,49,193,1678,8,490,1423,535,492,1212,337;2350,3737,2835,921,4319,2297,18553,1441;91
18;11,12,8,15,4248;896;10
21;193,121,133,144;330,1434,4021;8
24;5485,188,189;\N;6
27;146,192,111,161;330,\N,11838;12
28;146,71,111,202;330,\N;8
29;5487,5534,132,147;1623,2354,502;12
30;119,156,7275;3856,\N,330;12
31;178;5416;2
32;37,183,196,69;1623,2354;12
33;156,178;330,5416;4
34;156,178;330;4
36;73,161;\N;4
37;32,196,68;1623,2354;10
40;55,75;1623,2354;8
41;132,147,5487,140;1623,2354,502;11
45;73,188,189,193;330,\N,5416;15
48;156,180;\N;4
49;176,196,99,7266,168,178,3670,3877,3484,3462,3751,3494,3550,507,3830,3469,90,100,120,122,146,156,160,166,193,3577,3858,16,72,136,1852,3839,1836,70,87,119,175,184;341,1623,2354,\N,24,330,439,2009,2835,3734,2987,3090,3320,5209,5265,5416;139
50;5534,187,132;1623,2354,502;14
54;155,68,4244,139,145,206,4239;1623,\N,2354,2748;16
55;40,5495,100,132,140,148,170,8225,5509,154;1623,2354,502;36
56;73,100,146,193;330;8
58;5524,141,160;1434,502;9
60;196;2354,68;4
61;193;330;2
62;5496,6727,146;\N;6
63;65,111;330;4
65;63,111,6775;330,\N;6
67;115,121,5527,169;1434;7
68;54,139,37;\N,2354;6
69;183,196,32;1623,2354;9
70;49,73,117,178;5416;8
71;28,111,153,202;\N;8
72;196,49,136;2354,3734;6
73;3520,3752,3448,507,3830,45,56,100,117,125,126,135,146,182,188,189,193,340,3697,36,1441,3878,3494,1852,1780,1760,70,178;24,330,1868,2009,3090,3320,\N,4021,477,1317,5209,5265,5416;95
75;40,5495;1623,2354;6
77;45;\N;2
78;156,172,178;\N,330,5416;10
79;3830,178;24,5265,5416;6
80;111,154,161,202;\N;10
85;178;\N;2
87;156,176,164,172,3484,178,3577,112,49,184,193;341,3856,\N,330,439,3734,5209,5416;30
90;3751,49,156,178,193,109,112;330,3734,5209,5416;25
91;5490,5507,143;\N;6
94;202,8216,5503,8217;11838,5399;12
99;49,7266;\N;4
100;196,55,3876,3752,3448,3520,340,3714,3697,507,3830,49,56,73,111,117,146,156,160,174,178,189,193,3645,144,3494;341,1623,2354,24,330,2009,3090,3320,502,4021,5209,5265,5416;89
105;121;\N;2
106;7255,202;11838;4
108;156;330,2692;4
109;90,136;3734;4
111;80,146,3752,3830,63,100,193,202,27,65,71,6775,161,192,144,1382,1760,3494;\N,24,330,4021,11838,1317,5209,5265,5416;57
112;178,87,90;330,3734;6
113;193,144,178;330,4021,5416;6
115;5479,67,160;1434;6
116;178;330;2
117;73,100,146,193,3878,3494,70;330,4021,1317,5209,5416;20
119;30,156,49,178;3856,\N,330,5416;14
120;3751,3830,49,156,160,178,193,3858,3877;330,2009,5209,5416;33
121;160,193,5479,21,143,169,144,5491,5533;330,1434,4021,5416,\N;27
122;49,178;330,5416;8
125;73,188,189;330;6
126;73,193;330;4
127;156,162;\N,330;8
128;5498,8225;29,2354;4
132;29,5487,50,55,147,187,196,41,160,5534,141;1623,2354,502;48
133;193,21,121,143,177,144;330,1434,4021;11
135;73,146,193;330;6
136;49,72,109,196;3734;8
139;54,68;\N;4
140;55,41;1623,2354;6
141;187,58,5497,5524,160;1623,502;13
143;193,133,190,144,91;330,1434,4021,\N;11
144;146,3448,3494,3714,3747,3515,21,100,111,113,121,133,143;330,4021;28
145;54;\N;2
146;62,5496,111,149,154,2170,3876,3520,3670,3645,3797,3697,507,3576,3830,3752,5810,3825,3448,302,1901,1382,1852,1800,3751,3494,2878,3533,340,1665,1910,3714,3550,3877,3484,1780,3878,346,1897,2881,1760,3469,1918,1923,27,28,49,56,73,100,117,135,144,153,156,160,178,182,189,192,193,202,5538,1678,1956,3682,210,1824,1074,1904,1903,580,3858,287,161,1441,11051,1386,1230,3941,1218,1264,1555,502,1638,1335,1353,1354,1761,1836,1273,1551,5514;\N,2354,24,330,137,794,321,4248,2350,596,1355,1936,2009,2222,4513,2822,3090,3320,4559,4021,477,4091,4259,1531,1908,1317,5209,5265,5416;371
147;29,132,41;2354,502;8
148;55,5495;1623,2354;8
149;5496,146,153;\N,330;10
152;170;1623,2354;4
153;146,149,71,5507,5472;330,\N;14
154;5512,5496,5481,80,5520,5508,6727,6728,55,146;\N,2354;19
155;54,196,4239,4238;1623,2354,2748;12
156;4144,87,176,6738,30,5523,119,162,164,184,200,8223,5545,48,78,127,3670,3877,3484,507,2279,3830,3720,3462,3577,2006,3751,3494,340,3077,2359,3728,3930,1824,346,3456,3364,3406,1836,3469,3361,33,34,49,90,100,108,120,146,160,166,168,172,173,178,179,181,193,198,2276,3797,3370,580,3858,3536,3867,2397,1852,502,478,3550,3514,3602,3839,1840;4608,341,3856,\N,24,330,439,2350,1355,2692,2091,751,1756,1680,1767,1868,2009,2822,2987,3163,3090,3320,1758,324,345,28,3952,1317,5209,5265,5416;315
160;132,187,3751,3830,49,100,120,121,146,156,166,178,193,3858,58,5524,115,5527,5497,5529,141,3877,174;1623,2354,330,2009,1434,3090,502,5209,5416;81
161;80,202,188,27,28,6775,36,146,5550,192;\N,330,11838;31
162;156,127;3856,\N,330;10
164;87,156,178;3856,330;8
166;3751,49,156,160,178,193,3858,3830,3877;330,2009,5209,5416;30
167;178;330;2
168;49,172,180,156,178;\N,330,5416;12
169;5479,67,121,5527,5469,5544,5466,5468,5480,5478,5465,5489,5531,5546,5547,5548;1434,\N;34
170;55,152;1623,2354;8
172;78,87,168,173,178,179,180,156;\N,330,5416;20
173;172,156,179;\N,330,2692,5416;10
174;3830,100,193,160,178;330,5209,5416;12
175;49,178;5416;4
176;87,156,178,196;341,330;10
177;193,133;330,1434;4
178;49,85,172,3670,3797,3877,3484,507,3830,3462,3731,1852,3751,3494,340,3550,2279,3720,1836,3469,1840,1923,34,78,87,90,100,112,116,120,122,146,156,160,164,166,167,184,193,196,3577,580,3858,3536,534,502,478,3878,3839,31,33,70,73,79,113,119,168,174,175;341,\N,24,330,439,2350,1355,2009,2822,3090,3320,324,1317,5209,5265,5416;228
179;172,156,173;\N,330,2692;8
180;48,168,172;\N;6
181;156;330;2
182;73,146,193;330,5416;8
183;32,69,196;1623,2354;8
184;156,3469,178,193,3577,3877,49,87;3856,330,439,5209,5416;26
187;50,132,141,160;1623,502;16
188;45,73,125,161,189,24,5485,5488,7252,5550,5461;330,\N,5399;30
189;507,45,73,100,125,146,188,193,24,77,1441,3878,3494;330,3090,3320,\N,4021,477,1317,5209,5416;43
190;121,143;1434;3
192;27,146,111,6775,202,161;330,\N,11838;16
193;302,3876,3520,3670,3797,3877,3484,3697,507,3878,3576,3830,3752,2874,3682,2895,2179,5810,1218,4069,3825,2875,3690,2709,3448,3849,1901,1382,3486,3759,609,1852,3488,3751,3645,599,3494,1555,3533,340,1926,1941,2882,2564,1909,3077,1910,3714,3550,3585,1701,1779,2789,1881,1780,3458,3542,1824,3717,3858,3861,346,1953,2279,3364,3462,3570,1754,1761,1760,3406,3626,3622,3793,3731,2650,3577,3469,1885,1918,3678,3745,1590,3646,2894,1613,1923,679,21,45,49,56,61,73,90,100,111,113,117,120,121,126,133,135,143,146,156,160,166,174,177,178,182,184,189,199,1678,1892,2276,4304,2902,1871,1904,580,2188,1107,16,3930,1128,2223,2206,2207,1638,1636,1633,2985,2072,3941,534,502,478,1551,2988,3515,2890,2899,87;3000,24,330,137,515,2350,596,1355,2091,1663,751,1889,1936,1680,2009,837,2183,2220,2222,2835,2660,2822,4867,3163,3090,3320,3210,4559,2150,2143,324,3826,491,3871,3952,4304,4319,130,4533,4951,4869,1317,5209,5067,5265,5416;636
196;100,176,32,37,49,69,132,155,183,60,72,7277,5463,5526,5511,178,4237,136;341,1623,2354,68,330,2748,3734,2987,502,5416;58
198;156;330;2
199;193;330;2
200;156,7275;3856;4
202;80,161,111,146,28,7255,71,192,94,106,8216;\N,330,11838,5399;44
206;54;\N;2
209;210,1335,1353,1386;794,21;12
210;344,1382,1353,220,253,1212,2170,234,1218,2177,209,1044,5552,1264,302,235,1128,1074,221,211,1084,2188,13448,5555,1320,1555,340,237,1665,238,224,239,1701,507,1399,1638,1335,1229,233,1524,218,1354,280,243,231,1386,246,3364,3998,6492,2985,222,240,225,1157,230,1273,287,1613,146,502,1606,11051,2074,\N;2548,137,794,4248,596,1355,2183,2822,3090,242,3320,3258,2143,4091,4259,130,4533,4951,4869,4870,2439,21;176
211;243,216;794;3
216;210,236,237,239;794;8
218;210;794;2
220;210,1382,1701,1335,1353,231,1386;794,21;18
221;210,234,1382,237,238,1701,1335,\N,1353,1354,231,1386;794,21;32
222;210;794;2
224;210,238;794;4
225;210;794;3
228;1353;794;2
230;210,1335,1353,1386;794,21;12
231;220,1212,210,234,1218,5553,1382,1074,221,237,238,1701,1399,1335,1353,243,1386,1273,1555,1229,2074,287,\N;794,596,2822,4533,4951,4870,2439,21;68
233;210,225;794;3
234;210,5554,221,239,243,231;794;11
235;210,1335,1386;794,21;8
236;243,216;794;4
237;210,221,231,216;794;8
238;210,221,224,244,231,502;794,16150;12
239;210,216;794;5
240;210;794;2
243;210,234,236,244,231;794;11
244;238,243;794;4
245;298,246,253,1382,273,890,891,1044,970,1084,897,260,1107,280,248,4059,883,886;470,330,137,4248,1750,10128,17094,2220,2682,3126,16942,5354,3320,3857,16415,4305,1531,5209,20976;80
246;253,248,1044,247,245,1084,298,280,302,1382,210,1074,1107,1701,287;470,330,137,794,4248,2009,17094,2220,2682,3090,3320,1531,4951,4870,5209;66
247;253,246;470;4
248;246,1084,273,1063,5556,507,1074,249,1555,3797,253,1059,2188,1107,298,1062,245,1229,580,4059,340,2177,1128,251,252,813,4105,1701,1638,260;470,595,4496,24,4248,16960,596,1355,2009,20047,2183,2220,2682,2822,3090,3126,3320,3490,2143,\N,17099,4305,153,4951,4869,20976,4292;107
249;248;16960,\N,17099;6
251;248;\N;2
252;248;\N,17099;4
253;247,246,302,1382,210,1074,245,1084,248,1059,1063,4162,298,273,1044,897,970,4059,1386,1701,287;470,330,137,794,4248,596,17094,20047,2183,2220,2682,3126,16942,3320,3490,2143,16415,17099,4305,1531,1908,4951,4870,5209,20976;102
260;1382,275,507,1107,245,298,999,280,340,891,1128,9825,248,262,263,264,13456,266,267,270,273,6730,6972,276,277;137,1355,2009,2220,3090,3320,2143,20976;60
262;260,273;20976;4
263;260,273;20976;4
264;1107,260,273;2220,20976;6
266;260;20976;2
267;260;20976;2
268;273;20976;2
269;273;20976;2
270;2177,1128,1175,2072,999,260,273;3490,2143,4521,4533,4951,20976;14
273;248,1084,897,1063,1382,1074,507,1044,891,3682,2188,253,1107,970,298,2179,1229,580,245,4059,340,275,2177,1128,11051,2170,813,1701,3550,9825,260,262,263,264,1059,3797,268,269,270,6730,6972,9826,1165;595,137,4248,16960,596,1355,10128,2009,2183,2220,2222,2822,3090,3126,3320,3490,2143,16415,4091,4259,4305,1531,4951,5209,5347,20976,4292;119
275;260,273;137,2009,3090,3320,1531,5209,20976;16
276;260;20976;2
277;260;20976;2
280;246,1382,210,1074,260,1107,245,999;470,137,794,4248,2009,17094,2220,3090,4951;34
286;1382,287,1157,1335,1418,1386,302,1665,1353,1354;3740,4513,8745,4870,5085;31
287;344,1154,5804,1157,1382,1353,210,1074,1555,1524,1335,286,1418,2188,340,5699,5696,5697,2177,1128,11051,2170,2072,1701,1386,253,580,1218,1739,1044,1538,1264,302,1084,4029,345,1665,2176,507,1638,1229,2074,346,1354,1094,231,246,1512,1435,1273,1551,1613,1678,293,291,290,1606,1561,295,296;2548,32,137,794,4248,596,3740,2183,4513,3320,3258,3490,2143,4091,4259,4533,4951,8745,4870,5085;175
290;291,296;5085;3
291;296,287;5085;4
293;345,347,1382,1399,1335,\N,1353,346,1418,340,348,1157,629,7447,1386,302,1423,1665,342,1354,1435,337,1678,287;214,3740,1868,4513,3329,8745,4870,5085,21;73
295;5804,1157,1382,1154,287;32,4513,3258,5085;20
296;1386,287;4870,5085;6
298;246,1382,248,253,260,1107,1044,4162,245,897,2560,970,273,302;470,137,4248,2220,2682,3320,1531,5209;41
299;503;137,1792;4
302;1074,5673,1080,350,2997,3093,3494,193,3941,1452,1335,1418,507,3752,1120,245,1084,897,1165,951,246,146,3682,3797,210,1229,1064,1070,1075,421,1638,1555,1529,608,523,521,2179,3953,3959,599,596,1382,340,1194,16,1230,1212,1218,1636,3998,1539,1246,1055,1688,1191,1460,1474,1200,4091,1225,1468,1458,1276,1213,1054,1231,7447,1198,1236,1472,1056,1743,1196,1488,1216,609,1665,1524,3364,351,1243,1551,1569,1739,668,680,580,1509,1606,253,1059,352,342,3714,346,4161,679,1423,1678,1590,2177,1128,1587,1613,1208,415,1706,4315,2939,11051,1657,737,644,469,1321,3885,1538,738,490,1489,4029,535,1626,1020,1563,687,478,1353,1561,1354,3830,1512,1253,1435,1273,1526,2985,6780,1701,4317,293,286,287,1264,502,337;9818,2548,3000,96,1203,24,330,137,794,321,4248,2350,596,1355,312,333,2009,17094,837,2220,2222,1548,2835,4296,2684,2660,2822,83,19582,2245,3090,242,3320,3210,19610,4559,2150,3490,2143,1946,491,1925,2218,3926,5282,4091,5097,5179,4319,1531,130,3386,4940,4951,4869,1317,4870,2297,5209,5265,90,2439,4292;631
304;1055,1064,1230,1517,1212,4309,1218,1506,1525,1280,1538,1264,1501,1745,1489,1519,1352,1460,1474,1553,9327,599,535,1265,1626,1066,1439,1323,1051,1528,1222,1225,669,1213,1054,6493,1229,478,1359,1353,5673,699,1636,1070,1567,1198,1356,3998,1562,1505,1203,1075,1072,1289,1236,1472,657,1251,1486,1508,1253,1056,1741,1080,1515,1526,1545,1539,1246,3959,1448,8414,1209,1252,1488,4317,1739,1652,1569,1657,1737,1194,679;4296,3926,5461;168
309;1324,1321,1064,1452,1399,3998,1472;137,2684,1909;17
310;309;2684;2
