Country;Destination_Countries;Airlines;Tot_Flights
United Arab Emirates;92;111;1494
Afghanistan;9;11;84
Antigua and Barbuda;16;15;69
Anguilla;4;5;12
Albania;7;13;72
Armenia;13;26;92
Netherlands Antilles;25;30;200
Angola;20;19;155
Argentina;22;30;511
American Samoa;1;1;2
Austria;59;72;776
Australia;35;62;2210
Aruba;9;24;90
Azerbaijan;23;29;145
Bosnia and Herzegovina;11;12;46
Barbados;15;12;46
Bangladesh;20;30;209
Belgium;59;66;822
Burkina Faso;15;15;70
Bulgaria;25;31;178
Bahrain;23;38;170
Burundi;3;10;27
Benin;15;19;80
Bermuda;3;9;30
Brunei;10;8;46
Bolivia;10;14;209
Brazil;34;52;2797
Bahamas;9;20;295
Bhutan;3;1;10
Botswana;6;4;44
Belarus;28;13;108
Belize;6;7;166
Canada;66;81;3727
Congo;14;20;220
Central African Republic;2;3;6
Switzerland;62;86;855
Cote d'Ivoire;19;25;102
Cook Islands;5;5;41
Chile;20;22;313
Cameroon;17;21;144
China;64;129;16496
Colombia;23;23;722
Costa Rica;13;22;257
Cuba;24;27;187
Cape Verde;15;12;117
Christmas Island;2;1;4
Cyprus;31;56;303
Czech Republic;39;55;385
Germany;98;133;4688
Djibouti;9;12;40
Denmark;47;64;618
Dominica;8;7;35
Dominican Republic;28;45;325
Algeria;29;23;442
Ecuador;14;13;198
Estonia;20;16;82
Egypt;47;61;612
Western Sahara;2;3;14
Eritrea;7;3;16
Spain;74;104;5065
Ethiopia;46;24;269
Finland;39;36;439
Fiji;15;12;134
Falkland Islands;1;1;2
Micronesia;4;1;18
Faroe Islands;2;1;8
France;116;147;3856
Gabon;13;12;50
United Kingdom;100;128;5300
Grenada;7;9;29
Georgia;20;27;97
French Guiana;4;5;14
Guernsey;6;4;40
Ghana;25;26;127
Greenland;3;2;179
Gambia;6;9;26
Guinea;8;12;36
Equatorial Guinea;8;9;32
Greece;43;69;1601
Guatemala;10;16;83
Guinea-Bissau;5;4;14
Guyana;7;5;18
Hong Kong;42;83;710
Honduras;9;13;132
Croatia;26;36;409
Haiti;8;14;54
Hungary;33;40;199
Indonesia;20;54;1675
Ireland;35;28;590
Israel;41;58;292
Isle of Man;2;5;22
India;50;79;3013
Iraq;14;25;151
Iran;30;28;880
Iceland;15;9;107
Italy;79;115;3555
Jersey;7;10;76
Jamaica;16;25;147
Jordan;35;38;227
Japan;41;83;2597
Kenya;45;40;401
Kyrgyzstan;9;16;150
Cambodia;12;30;144
Kiribati;4;3;14
Comoros;6;8;20
Saint Kitts and Nevis;7;12;39
North Korea;3;2;10
South Korea;45;73;1178
Kuwait;26;42;239
Cayman Islands;7;10;60
Kazakhstan;25;29;418
Laos;8;10;100
Lebanon;30;31;133
Saint Lucia;10;17;58
Sri Lanka;24;25;232
Liberia;6;13;36
Lesotho;1;1;2
Lithuania;26;23;160
Luxembourg;20;16;140
Latvia;32;25;202
Libya;13;14;200
Morocco;48;39;623
Monaco;1;1;2
Moldova;15;12;68
Montenegro;11;12;54
Madagascar;9;9;133
Marshall Islands;5;2;14
Macedonia;13;12;48
Mali;15;14;55
Mongolia;8;7;68
Macao;9;22;158
Northern Mariana Islands;5;5;24
Mauritania;8;8;37
Malta;26;31;226
Mauritius;17;16;84
Maldives;16;28;113
Malawi;7;6;35
Mexico;26;51;2116
Malaysia;39;70;1134
Mozambique;7;6;122
Namibia;8;6;64
New Caledonia;8;5;72
Niger;8;9;34
Norfolk Island;2;1;5
Nigeria;33;29;251
Nicaragua;5;11;29
Netherlands;82;81;1136
Norway;39;41;1296
Nepal;15;27;106
Nauru;3;1;6
Niue;1;1;1
New Zealand;18;25;466
Oman;26;38;224
Panama;32;20;262
Peru;21;27;363
French Polynesia;7;12;220
Papua New Guinea;9;4;336
Philippines;25;43;789
Pakistan;24;26;566
Poland;41;45;725
Saint Pierre and Miquelon;1;1;6
Puerto Rico;19;25;232
Portugal;39;56;1071
Palau;6;8;19
Paraguay;9;11;44
Qatar;62;41;377
Romania;29;39;355
Serbia;28;31;213
Russia;71;121;3698
Rwanda;14;15;80
Saudi Arabia;44;61;1116
Solomon Islands;5;5;118
Seychelles;8;10;28
Sudan;14;19;103
Sweden;43;60;950
Singapore;40;83;820
Slovenia;18;15;66
Slovakia;10;7;51
Sierra Leone;9;12;44
Senegal;26;33;139
Somalia;7;7;70
Suriname;7;4;20
Sao Tome and Principe;3;2;7
El Salvador;14;12;105
Swaziland;1;1;2
Turks and Caicos Islands;8;12;76
Chad;6;5;19
Togo;13;8;41
Thailand;56;112;1209
Tajikistan;9;16;194
Timor-Leste;3;4;8
Turkmenistan;9;8;30
Tunisia;31;31;402
Tonga;3;3;10
Turkey;92;101;1967
Trinidad and Tobago;15;15;79
Tuvalu;1;1;2
Taiwan;25;54;826
Tanzania;18;23;152
Ukraine;35;46;424
Uganda;17;22;73
United States;94;138;26402
Uruguay;8;14;52
Uzbekistan;23;20;281
Saint Vincent and the Grenadines;4;1;9
Venezuela;23;28;384
Vietnam;22;45;578
Vanuatu;6;7;192
Wallis and Futuna;3;1;8
Samoa;3;4;11
Yemen;17;13;183
South Africa;42;50;540
Zambia;12;15;113
Zimbabwe;9;16;79
United States Virgin Islands;10;15;86
Guadeloupe;11;12;66
Martinique;10;11;46
Mayotte;4;8;30
Reunion;7;7;46
Guam;10;10;70
British Virgin Islands;5;7;32
Gibraltar;1;4;12
